Dept,Course,Section,Author,Title,ISBN,Edition,YR,Status,Instructor,Campus,Price
ENGL,205,C100,GREENBLATT,NORTON ANTHOLOGY OF ENGLISH LI,978-0-393-91251-7,9,12,RQ,ARAB,BUR,$56.00
ENGL,207,D100,LEVENE,SHORT FICTION : ANTHOLOGY (ED,978-0-19-900936-7,2,15,RQ,BROOK,BUR,$95.00
ENGL,304,C100,KEMPE,BOOK OF MARGERY KEMPE (TRANS W,978-0-14-043251-0,1,86,RQ,ZWAGERMAN,BUR,$17.00
ENGL,304,C100,CHAUCER,CANTERBURY TALES,978-0-393-92587-6,2,5,RQ,ZWAGERMAN,BUR,$32.00
ENGL,304,C100,BENSON,KING ARTHUR'S DEATH,978-1-879288-38-6,1,94,RQ,ZWAGERMAN,BUR,$45.00
ENGL,304,C100,SHEPHERD,MIDDLE ENGLISH ROMANCES,978-0-393-96607-7,1,94,RQ,ZWAGERMAN,BUR,$34.00
ENGL,311,D100,SHAKESPEARE,HENRY V (ED TAYLOR),978-0-19-953651-1,1,8,RQ,KIDDER,BUR,$10.95
ENGL,311,D100,SHAKESPEARE,MIDSUMMER NIGHT'S DREAM,978-0-19-953586-6,1,8,RQ,KIDDER,BUR,$10.95
ENGL,311,D100,SHAKESPEARE,RICHARD III (ED JOWETT),978-0-19-953588-0,1,8,RQ,KIDDER,BUR,$10.95
ENGL,311,D100,SHAKESPEARE,ROMEO & JULIET (ED LEVENSON),978-0-19-953589-7,1,8,RQ,KIDDER,BUR,$10.95
ENGL,311,D100,SHAKESPEARE,TITUS ANDRONICUS,978-0-19-953610-8,1,8,RQ,KIDDER,BUR,$10.95
ENGL,315,D100,CARROLL,BIBLE : AUTHORIZED KING JAMES,978-0-19-953594-1,1,8,RQ,FLEMING,BUR,$18.95
ENGL,322,E100,BOSWELL,"BOSWELL'S LONDON JOURNAL, 1762",978-0-300-09301-8,2,4,RQ,SCHELLENBERG,BUR,$33.00
ENGL,322,E100,BURNEY,EVELINA,978-0-19-953693-1,1,2,RQ,SCHELLENBERG,BUR,$12.95
ENGL,322,E100,HAYWOOD,HISTORY OF MISS BETSY THOUGHTL,978-1-55111-147-6,1,97,RQ,SCHELLENBERG,BUR,$28.00
ENGL,322,E100,FIELDING,TOM JONES (ED BENDER / STERN),978-0-19-953699-3,1,8,RQ,SCHELLENBERG,BUR,$8.95
ENGL,330,D100,BLACK,BROADVIEW ANTHOLOGY OF BRITISH,978-1-55481-073-4,2,12,RQ,LINLEY,BUR,$63.00
ENGL,349,D100,BROWN,IN THE LAURELS CAUGHT,978-1-934200-64-3,1,0,RQ,COLLIS,BUR,$17.50
ENGL,349,D100,MARTIN,LIFE IN A BOX IS A PRETTY LIFE,978-1-937658-28-1,1,14,RQ,COLLIS,BUR,$22.00
ENGL,349,D100,NIEDECKER,LORINE NIEDECKER,978-0-520-22434-6,1,2,RQ,COLLIS,BUR,$48.00
ENGL,349,D100,HOWE,MY EMILY DICKINSON,978-0-8112-1683-8,1,7,RQ,COLLIS,BUR,$20.95
ENGL,349,D100,DICKINSON,POEMS OF EMILY DICKINSON (ED F,978-0-674-01824-2,1,99,RQ,COLLIS,BUR,$33.00
ENGL,357,D100,HAGE,COCKROACH,978-0-88784-834-6,1,9,RQ,MCCALL,BUR,$18.95
ENGL,357,D100,TOEWS,COMPLICATED KINDNESS,978-0-676-97856-8,1,5,RQ,MCCALL,BUR,$19.95
ENGL,357,D100,ONDAATJE,IN THE SKIN OF A LION,978-0-394-28182-7,1,96,RQ,MCCALL,BUR,$21.00
ENGL,357,D100,WAGAMESE,INDIAN HORSE,978-1-55365-402-5,1,12,RQ,MCCALL,BUR,$21.95
ENGL,357,D100,COMPTON,OUTER HARBOUR,978-1-55152-572-3,1,14,RQ,MCCALL,BUR,$18.00
ENGL,357,D100,THUY,RU,978-0-307-35971-1,1,12,RQ,MCCALL,BUR,$18.95
ENGL,364,D100,LEITCH,NORTON ANTHOLOGY OF THEORY & C,978-0-393-93292-8,2,10,RQ,LINLEY,BUR,$131.00
ENGL,372,E100,GOLDSMITH,AGAINST EXPRESSION,978-0-8101-2711-1,1,11,RQ,BURNHAM,BUR,$79.00
ENGL,372,E100,BURNHAM,POUND @ GUNATNAMO,978-0-88922-979-2,1,16,RQ,BURNHAM,BUR,$17.95
ENGL,376,D100,GREEN,BOUGH DOWN,978-1-938221-01-9,1,13,RC,HUSSEY,BUR,$42.00
ENGL,376,D100,WARE,BUILDING STORIES (W/6PAMPHLETS,978-0-375-42433-5,1,12,RQ,HUSSEY,BUR,$68.00
ENGL,376,E100,BYRON,BYRONS POETRY & PROSE (ED LEVI,978-0-393-92560-9,1,10,RQ,LEVY,HRB,$31.00
ENGL,376,E100,AUSTEN,EMMA (ED SSMUELIAN),978-1-55111-321-0,1,4,RQ,LEVY,HRB,$15.00
ENGL,376,D100,DANIELEWSKI,HOUSE OF LEAVES,978-0-375-70376-8,1,0,RQ,HUSSEY,BUR,$24.00
ENGL,376,D100,CARSON,NOX (BOXED),978-0-8112-1870-2,1,10,RC,HUSSEY,BUR,$45.00
ENGL,376,E100,SCOTT,OLD MORTALITY,978-0-19-955530-7,1,9,RQ,LEVY,HRB,$14.95
ENGL,376,E100,COLERIDGE,POETRY & PROSE (ED HALMI),978-0-393-97904-6,1,4,RQ,LEVY,HRB,$38.00
ENGL,376,D100,HALL,RAW SHARK TEXTS,978-0-00-200697-2,1,8,RQ,HUSSEY,BUR,$19.95
ENGL,377,D100-ITALY,GRIFFIN,"FRANCIS AND CLARE OF ASSISI, S",978-0-06-075465-5,1,6,RQ,HIGGINS,BUR,$14.99
ENGL,377,D100-ITALY,DANTE,INFERNO (ED MAZZOTTA),978-0-393-97796-7,1,8,RQ,HIGGINS,BUR,$29.00
ENGL,377,D100-ITALY,NAJEMY,ITALY IN THE AGE OF THE RENAIS,978-0-19-870040-1,1,4,RC,HIGGINS,BUR,$75.00
ENGL,377,D100-ITALY,PETRARCH,SELECTIONS FROM CANZONIERE & O,978-0-19-954069-3,1,8,RQ,HIGGINS,BUR,$10.95
ENGL,377,D100-ITALY,BOCCACCIO,THE DECAMERON,978-0-393-93562-2,1,15,RQ,HIGGINS,BUR,$31.00
ENGL,378,D100-ITALY,WELCH,ART IN RENAISSANCE ITALY,978-0-19-284279-4,1,97,RQ,HIGGINS,BUR,$31.95
ENGL,378,D100-ITALY,CAMILLE,IMAGE ON THE EDGE: THE MARGINS,978-0-948462-28-3,1,0,RC,HIGGINS,BUR,$37.00
ENGL,378,D100-ITALY,BAXANDALL,PAINTING & EXPERIENCE IN 15TH,978-0-19-282144-7,1,88,RQ,HIGGINS,BUR,$28.00
ENGL,378,D100-ITALY,DEAN,TOWNS OF ITALY IN THE LATER MI,978-0-7190-5204-0,1,0,RQ,HIGGINS,BUR,$40.00
ENGL,383,D100,CHANDLER,BIG SLEEP (TRADE ED),978-0-394-75828-2,1,88,RQ,SMITH,BUR,$18.00
ENGL,383,D100,KHAN,LANGUAGE OF SECRETS,978-1-250-05512-5,1,16,RQ,SMITH,BUR,$29.99
ENGL,383,D100,CHANDLER,LONG GOODBYE (TRADE ED),978-0-394-75768-1,1,88,RQ,SMITH,BUR,$17.95
ENGL,383,D100,HAMMETT,MALTESE FALCON (TRADE ED),978-0-679-72264-9,1,89,RQ,SMITH,BUR,$19.50
ENGL,392,D100,LINDBERG,BIRDIE,978-1-4434-5135-2,1,16,RQ,ST PIERRE,BUR,$22.99
ENGL,392,D100,TRUTH AND RECON,FINAL REPORT OF THE TRUTH AND,978-1-4594-1067-1,1,15,RQ,ST PIERRE,BUR,$22.95
ENGL,392,D100,ACOOSE,ISKWEKWAK - KAH' KI YAW NI WAH,978-0-88961-576-2,2,16,RQ,ST PIERRE,BUR,$44.00
ENGL,392,D100,WAGAMESE,MEDICINE WALK,978-1-57131-116-0,1,16,RQ,ST PIERRE,BUR,$22.00
ENGL,392,D100,ROBINSON,MONKEY BEACH,978-0-676-97322-8,1,1,RQ,ST PIERRE,BUR,$21.00
ENGL,392,D100,CLEMENTS,UNNATURAL & ACCIDENTAL WOMEN (,978-0-88922-521-3,1,5,RQ,ST PIERRE,BUR,$18.00
ENGL,810,G100,EAGLETON,LITERARY THEORY,978-0-8166-5447-5,2,8,RQ,LESJAK,BUR,$27.00
ENGL,810,G100,JAMESON,POLITICAL UNCONSCIOUS,978-0-8014-9222-8,1,82,RQ,LESJAK,BUR,$37.50
ENGL,810,G100,ZIZEK,SUBLIME OBJECT OF IDEOLOGY,978-1-84467-300-1,2,9,RQ,LESJAK,BUR,$27.95
ENGL,810,G100,SEDGWICK,TOUCHING FEELING,978-0-8223-3015-8,1,2,RQ,LESJAK,BUR,$33.00
ENGL,820,G100,GREEN,BOUGH DOWN,978-1-938221-01-9,1,13,RQ,HUSSEY,BUR,$42.00
ENGL,820,G100,WARE,BUILDING STORIES (W/6PAMPHLETS,978-0-375-42433-5,1,12,RQ,HUSSEY,BUR,$68.00
ENGL,820,G100,DANIELEWSKI,HOUSE OF LEAVES,978-0-375-70376-8,1,0,RQ,HUSSEY,BUR,$24.00
ENGL,820,G100,CALVINO,IF ON A WINTER'S NIGHT A TRAVE,978-0-679-42025-5,1,79,RQ,HUSSEY,BUR,$34.00
ENGL,820,G100,CARSON,NOX (BOXED),978-0-8112-1870-2,1,10,RQ,HUSSEY,BUR,$45.00
ENGL,820,G100,GUMBRECHT,PRODUCTION OF PRESENCE,978-0-8047-4916-9,1,4,RC,HUSSEY,BUR,$24.00
ENGL,820,G100,JOHNSON,UNFORTUNATES,978-0-8112-1743-9,1,9,RQ,HUSSEY,BUR,$27.95
ENGL,843,G100,ADICHIE,AMERICANAH,978-0-307-39792-8,1,14,RQ,KIM,BUR,$21.00
ENGL,843,G100,MACLEAR,LETTER OPENER,978-0-00-200894-5,1,8,RQ,KIM,BUR,$17.95
ENGL,843,G100,RUSHDIE,MIDNIGHT'S CHILDREN,978-0-676-97065-4,25,97,RQ,KIM,BUR,$22.00
ENGL,851,G900,PECHAWIS,CODED TERRITIORIES: TRACING,978-1-55238-706-1,1,14,RQ,REDER,SUR,$34.95
ENGL,852,G100,TANNAHILL,AGE OF MINORITY : 3 SOLO PLAYS,978-1-77091-194-9,1,13,RQ,DICKINSON,BUR,$19.95
ENGL,852,G100,COYOTE,GENDER FAILURE,978-1-55152-536-5,1,14,RQ,DICKINSON,BUR,$17.95
ENGL,852,G100,FOBISTER,TWO SPIRIT ACTS : QUEER INDIGE,978-1-77091-184-0,1,13,RQ,DICKINSON,BUR,$22.95
ENGL,111W,D100,HEANEY,BEOWULF: NEW VERSE TRANS (BILI,978-0-393-32097-8,1,0,RQ,BUDRA,BUR,$19.50
ENGL,111W,D100,CHAUCER,CANTERBURY TALES (ED BIEDLER),978-0-553-21082-8,1,82,RQ,BUDRA,BUR,$7.99
ENGL,111W,D900,STOKER,DRACULA,978-1-4576-1932-8,2,16,RQ,CAPPERDONI,SUR,$20.00
ENGL,111W,D100,SHELLEY,FRANKENSTEIN,978-0-486-28211-4,1,94,RQ,BUDRA,BUR,$5.00
