Dept,Course,Section,Author,Title,ISBN,Edition,YR,Status,Instructor,Campus,Price
ENGL,438W,D100,CEI / JOYCE,ULYSSES (FREE VIA BKSTR WEBSIT,978-0-19-953567-5,1,8,RQ,GRIEVE,BUR,$14.95
ENGL,438W,D100,ELIOT,WASTE LAND AND OTHER POEMS,978-0-451-52684-7,1,98,RQ,GRIEVE,BUR,$4.50
ENGL,454W,J100,POUND,CANTOS OF EZRA POUND,978-0-8112-1326-4,1,96,RQ,BURNHAM,HRB,$41.00
ENGL,454W,J100,TOSCANO,EXPLOSION ROCKS SPRINGFIELD,978-0-9864373-4-2,1,16,RQ,BURNHAM,HRB,$19.99
ENGL,454W,J100,KAUR,MILK AND HONEY,978-1-4494-7425-6,1,15,RQ,BURNHAM,HRB,$19.99
ENGL,454W,J100,BURNHAM,ONLY POETRY THAT MATTERS,978-1-55152-429-0,1,11,RC,BURNHAM,HRB,$23.95
ENGL,454W,J100,WAH,TOWARD SOME AIR,978-1-894773-80-5,1,15,RQ,BURNHAM,HRB,$21.95
ENGL,454W,J100,KLOBUCAR,WRITING CLASS,978-0-921586-68-5,1,99,RQ,BURNHAM,HRB,$21.00
ENGL,455W,D100,WEBB,PEACOCK BLUE : COLLECTED POEMS,978-0-88922-914-3,1,15,RQ,COLLIS,HRB,$29.95
ENGL,455W,D100,WAH,SCREE : COLLECTED EARLIER POEM,978-0-88922-948-8,1,16,RQ,COLLIS,HRB,$29.95
ENGL,470W,D100,JOHNSTONE,DISCOURSE ANALYSIS,978-1-4051-4427-8,2,7,RQ,CRAMER,BUR,$74.00
ENGL,486W,E100,CAVENDISH,BELL IN CAMPO & SOCIABLE COMPA,978-1-55111-287-9,1,2,RQ,SOLOMON,BUR,$24.00
ENGL,486W,E100,FEY,BOSSYPANTS,978-0-316-05689-2,1,13,RQ,SOLOMON,BUR,$11.00
ENGL,486W,E100,AUSTEN,EMMA (ED SSMUELIAN),978-1-55111-321-0,1,4,RQ,SOLOMON,BUR,$15.00
ENGL,486W,E100,COLLIER,ESSAY ON THE ART OF INGENIOUSL,978-1-55111-096-7,1,3,RQ,SOLOMON,BUR,$28.00
ENGL,486W,E100,CALDWELL,POPULAR PLAYS BY WOMEN,978-1-55111-916-8,1,11,RQ,SOLOMON,BUR,$38.00
ENSC,105,FIC ALL,STEVENSON,STRATEGIES FOR ENGINEERING COM,978-0-471-12817-5,1,1,RQ,BROOKS,BUR,$112.00
ENSC,105,FIC ALL,EWALD,WRITING IN THE TECHNICAL FIELD,978-0-19-544908-2,1,14,RQ,BROOKS,BUR,$80.00
ENSC,204,D100,BERTOLINE,INTRODUCTION TO GRAPHICS COMMU,978-0-07-352264-7,4,8,RQ,SJOERDSMA,BUR,$149.00
ENSC,220,D100,THOMAS,ANALYSIS & DESIGN OF LINEAR CI,978-1-118-06558-7,7,12,RC,TRAJKOVIC,BUR,$198.00
ENSC,220,D100,NILSSON,ELECTRIC CIRCUITS,978-0-13-376003-3,10,15,RC,TRAJKOVIC,BUR,$218.00
ENSC,251,D100,SAVITCH,PROBLEM SOLVING WITH C++,978-0-13-359174-3,9,14,CH,SCRATCHLEY,BUR,$204.00
ENSC,252,D100,BROWN,FUND OF DIGITAL LOGIC W/VHDL D,978-0-07-722143-0,3,8,RC,ONE,BUR,$99.95
ENSC,254,D100,HOHL,ARM ASSEMBLY LANGUAGE,978-1-4822-2985-1,2,14,RC,SCRATCHLEY,BUR,$137.00
ENSC,263,D100,HOHL,ARM ASSEMBLY LANGUAGE,978-1-4822-2985-1,2,14,RC,SCRATCHLEY,BUR,$137.00
ENSC,264,D100,BROWN,FUND OF DIGITAL LOGIC W/VHDL D,978-0-07-722143-0,3,8,RC,ONE,BUR,$99.95
ENSC,324,D100,NEAMEN,SEMICONDUCTOR PHYSICS,978-0-07-352958-5,4,11,RQ,GRAY,BUR,$324.00
ENSC,385,D100,BEER,STATICS AND MECHANICS OF MATER,978-0-07-339816-7,2,17,RQ,BAGHERI,BUR,$315.00
ENSC,477,D100,PRINCE,MEDICAL IMAGING SIGNALS AND SY,978-0-13-214518-3,2,15,RQ,CHEUNG,BUR,$218.00
ENSC,488,D100,CRAIG,INTRO TO ROBOTICS,978-0-201-54361-2,3,5,RC,GUPTA,BUR,$194.00
ENSC,489,E100,ONWUBOL,COMPUTER-AIDED DESIGN ENGINEER,978-1-84816-665-3,1,13,RC,HAJI HAJIKOLAEI,BUR,$172.00
ENSC,895,G100,PRINCE,MEDICAL IMAGING SIGNALS AND SY,978-0-13-214518-3,2,15,RQ,CHEUNG,BUR,$218.00
